"filename", "language", "JSON", "Markdown", "JavaScript", "TypeScript", "TypeScript JSX", "CSS", "XML", "JSON with Comments", "HTML", "Ignore", "comment", "blank", "total"
"/home/aneja/work/web/onelink/apps/web/src/components/headers/collection-header.tsx", "TypeScript JSX", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
"/home/aneja/work/web/onelink/apps/web/src/components/headers/navigation-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 3, 39
"/home/aneja/work/web/onelink/apps/web/src/components/headers/navigation-sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 2, 19
"/home/aneja/work/web/onelink/apps/web/src/components/loaders/global-fallback-loader.tsx", "TypeScript JSX", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"/home/aneja/work/web/onelink/apps/web/src/components/loaders/notification-item-skeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 3, 21
"/home/aneja/work/web/onelink/apps/web/src/components/loaders/notification-list-item-skeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 3, 18
"/home/aneja/work/web/onelink/apps/web/src/components/mascot.tsx", "TypeScript JSX", 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 2, 58
"/home/aneja/work/web/onelink/apps/web/src/components/popover/create-collection.tsx", "TypeScript JSX", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 4, 29
"/home/aneja/work/web/onelink/apps/web/src/components/popover/create-link.tsx", "TypeScript JSX", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 4, 29
"/home/aneja/work/web/onelink/apps/web/src/components/popover/notification-box.tsx", "TypeScript JSX", 0, 0, 0, 0, 115, 0, 0, 0, 0, 0, 1, 7, 123
"/home/aneja/work/web/onelink/apps/web/src/components/popover/popover.tsx", "TypeScript JSX", 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 6, 76
"/home/aneja/work/web/onelink/apps/web/src/components/popover/profile-box.tsx", "TypeScript JSX", 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 1, 5, 82
"/home/aneja/work/web/onelink/apps/web/src/components/search-bar.tsx", "TypeScript JSX", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 2, 18
"/home/aneja/work/web/onelink/apps/web/src/components/use-movement.tsx", "TypeScript JSX", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 5, 24
"/home/aneja/work/web/onelink/apps/web/src/config/action.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 4, 2, 12
"/home/aneja/work/web/onelink/apps/web/src/config/constants.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/home/aneja/work/web/onelink/apps/web/src/config/navigation-sidebar-items.ts", "TypeScript", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 3, 30
"/home/aneja/work/web/onelink/apps/web/src/config/paths.ts", "TypeScript", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 1, 2, 39
"/home/aneja/work/web/onelink/apps/web/src/features/collections/create-collection.ts", "TypeScript", 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 5, 44
"/home/aneja/work/web/onelink/apps/web/src/features/collections/get-collections-stats.ts", "TypeScript", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 5, 39
"/home/aneja/work/web/onelink/apps/web/src/features/collections/get-collections.ts", "TypeScript", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 7, 43
"/home/aneja/work/web/onelink/apps/web/src/features/collections/verify-collection-password.ts", "TypeScript", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 4, 38
"/home/aneja/work/web/onelink/apps/web/src/features/feed/get-feed.ts", "TypeScript", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 5, 39
"/home/aneja/work/web/onelink/apps/web/src/features/links/create-link-fetch.ts", "TypeScript", 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 8, 14, 85
"/home/aneja/work/web/onelink/apps/web/src/features/links/create-link.ts", "TypeScript", 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 2, 4, 45
"/home/aneja/work/web/onelink/apps/web/src/features/links/delete-link.ts", "TypeScript", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 1, 5, 35
"/home/aneja/work/web/onelink/apps/web/src/features/links/get-links.ts", "TypeScript", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 5, 41
